OrderItemID,OrderID,BookID,Quantity,UnitPrice,OrderDate,ClientName,Status,Title,Genre,ISBN,PublishYear,Revenue
1,1,1,50,19.9,2025-10-30,TechEdu SA,New,Основи Python,Навчальна,978-1-234-56789-7,2025,994.9999999999999
2,1,2,30,24.9,2025-10-30,TechEdu SA,New,Бази даних просто,Навчальна,978-1-987-65432-1,2025,747.0
3,2,3,3,49.9,2025-01-10,TechBooks GmbH,New,Python для початківців,Навчальна,978-0-100000-001,2023,149.7
4,3,4,2,59.0,2025-01-15,EduLab SA,Completed,SQL на практиці,Навчальна,978-0-100000-002,2024,118.0
5,4,5,1,39.5,2025-02-01,DataWorks AG,InProgress,Data Analytics 101,Навчальна,978-0-100000-003,2025,39.5
6,5,6,5,29.9,2025-02-18,Libra LLC,Completed,Story Craft,Fiction,978-0-100000-004,2022,149.5
7,6,7,4,54.0,2025-03-03,Orion Labs,New,Mountains & Lakes,Travel,978-0-100000-005,2021,216.0
8,7,8,3,46.0,2025-03-20,Pixel Media,InProgress,AI for Editors,Technology,978-0-100000-006,2025,138.0
9,8,9,2,32.0,2025-04-05,QuickLearn,Completed,Clean Data,Non-Fiction,978-0-100000-007,2020,64.0
10,9,10,6,52.5,2025-04-22,Read&Co,New,Sci-Fi Tales,Sci-Fi,978-0-100000-008,2019,315.0
11,10,11,2,28.9,2025-05-09,Star Books,Completed,Business Blue,Business,978-0-100000-009,2024,57.8
12,11,12,7,44.0,2025-05-25,Nova Print,Canceled,Creative SQL,Technology,978-0-100000-010,2023,308.0
